Elukoht;Kool;isikute_arv
1kmN6378E0655;1kmN6415E0678;3
1kmN6381E0650;1kmN6386E0652;3
1kmN6381E0650;1kmN6415E0677;3
1kmN6383E0649;1kmN6584E0538;3
1kmN6383E0650;1kmN6386E0652;3
1kmN6383E0651;1kmN6473E0659;3
1kmN6383E0651;1kmN6473E0662;3
1kmN6383E0651;1kmN6475E0657;3
1kmN6383E0651;1kmN6589E0543;3
1kmN6383E0657;1kmN6386E0652;3
1kmN6383E0659;1kmN6386E0652;3
1kmN6384E0650;1kmN6474E0659;3
1kmN6384E0654;1kmN6470E0658;3
1kmN6384E0659;1kmN6386E0652;3
1kmN6384E0659;1kmN6462E0648;3
1kmN6384E0659;1kmN6474E0659;3
1kmN6384E0659;1kmN6589E0543;3
1kmN6385E0648;1kmN6388E0644;3
1kmN6385E0651;1kmN6475E0657;3
1kmN6385E0657;1kmN6474E0659;3
1kmN6385E0659;1kmN6386E0652;3
1kmN6385E0663;1kmN6444E0703;3
1kmN6386E0638;1kmN6473E0659;3
1kmN6386E0639;1kmN6422E0652;5
1kmN6386E0640;1kmN6388E0644;9
1kmN6386E0640;1kmN6405E0620;3
1kmN6386E0640;1kmN6405E0621;3
1kmN6386E0640;1kmN6407E0621;3
1kmN6386E0640;1kmN6429E0614;3
1kmN6386E0640;1kmN6429E0677;3
1kmN6386E0640;1kmN6470E0658;3
1kmN6386E0640;1kmN6491E0591;3
1kmN6386E0640;1kmN6581E0633;3
1kmN6386E0648;1kmN6386E0652;3
1kmN6386E0648;1kmN6473E0662;3
1kmN6386E0649;1kmN6472E0657;3
1kmN6386E0652;1kmN6386E0652;3
1kmN6386E0652;1kmN6474E0659;3
1kmN6386E0653;1kmN6386E0652;5
1kmN6386E0653;1kmN6415E0677;3
1kmN6386E0653;1kmN6474E0659;3
1kmN6386E0653;1kmN6475E0657;3
1kmN6386E0655;1kmN6475E0657;3
1kmN6386E0656;1kmN6588E0541;3
1kmN6386E0662;1kmN6589E0542;3
1kmN6386E0691;1kmN6475E0659;3
1kmN6386E0694;1kmN6415E0678;3
1kmN6387E0639;1kmN6407E0620;3
1kmN6387E0639;1kmN6470E0658;3
1kmN6387E0640;1kmN6388E0644;3
1kmN6387E0640;1kmN6473E0658;3
1kmN6387E0640;1kmN6491E0591;3
1kmN6387E0641;1kmN6388E0644;3
1kmN6387E0641;1kmN6529E0590;3
1kmN6387E0643;1kmN6388E0644;3
1kmN6387E0646;1kmN6458E0658;3
1kmN6387E0647;1kmN6386E0652;3
1kmN6387E0647;1kmN6475E0657;3
1kmN6387E0648;1kmN6386E0652;3
1kmN6387E0648;1kmN6388E0668;3
1kmN6387E0648;1kmN6415E0678;3
1kmN6387E0648;1kmN6587E0542;3
1kmN6387E0650;1kmN6386E0652;3
1kmN6387E0650;1kmN6420E0678;3
1kmN6387E0650;1kmN6462E0648;3
1kmN6387E0650;1kmN6470E0658;3
1kmN6387E0651;1kmN6386E0652;4
1kmN6387E0652;1kmN6386E0652;8
1kmN6387E0652;1kmN6470E0658;3
1kmN6387E0652;1kmN6591E0547;3
1kmN6387E0653;1kmN6470E0658;3
1kmN6387E0655;1kmN6386E0652;3
1kmN6387E0655;1kmN6420E0678;3
1kmN6387E0655;1kmN6470E0658;3
1kmN6387E0655;1kmN6474E0659;3
1kmN6387E0656;1kmN6392E0659;3
1kmN6387E0662;1kmN6407E0621;3
1kmN6387E0663;1kmN6587E0545;3
1kmN6387E0667;1kmN6392E0659;3
1kmN6387E0667;1kmN6402E0673;3
1kmN6387E0667;1kmN6444E0703;3
1kmN6387E0669;1kmN6392E0659;3
1kmN6387E0669;1kmN6470E0658;3
1kmN6387E0669;1kmN6473E0659;3
1kmN6387E0670;1kmN6388E0668;3
1kmN6387E0670;1kmN6402E0673;3
1kmN6387E0670;1kmN6402E0674;3
1kmN6387E0684;1kmN6474E0659;3
1kmN6387E0692;1kmN6388E0692;3
1kmN6388E0640;1kmN6388E0644;3
1kmN6388E0641;1kmN6475E0657;3
1kmN6388E0643;1kmN6388E0644;3
1kmN6388E0643;1kmN6405E0621;3
1kmN6388E0643;1kmN6407E0621;3
1kmN6388E0643;1kmN6420E0678;3
1kmN6388E0643;1kmN6462E0648;3
1kmN6388E0643;1kmN6470E0658;3
1kmN6388E0643;1kmN6473E0662;3
1kmN6388E0643;1kmN6474E0659;3
1kmN6388E0643;1kmN6584E0538;3
1kmN6388E0643;1kmN6586E0539;3
1kmN6388E0643;1kmN6587E0542;3
1kmN6388E0643;1kmN6590E0549;3
1kmN6388E0646;1kmN6474E0659;3
1kmN6388E0653;1kmN6386E0652;7
1kmN6388E0653;1kmN6392E0659;3
1kmN6388E0653;1kmN6420E0678;3
1kmN6388E0653;1kmN6584E0538;3
1kmN6388E0654;1kmN6392E0659;3
1kmN6388E0655;1kmN6386E0652;4
1kmN6388E0655;1kmN6474E0659;3
1kmN6388E0655;1kmN6587E0542;3
1kmN6388E0656;1kmN6386E0652;9
1kmN6388E0656;1kmN6388E0644;3
1kmN6388E0656;1kmN6392E0659;3
1kmN6388E0656;1kmN6405E0620;3
1kmN6388E0656;1kmN6415E0678;3
1kmN6388E0656;1kmN6420E0678;3
1kmN6388E0656;1kmN6473E0658;3
1kmN6388E0656;1kmN6475E0657;3
1kmN6388E0664;1kmN6392E0659;3
1kmN6388E0664;1kmN6402E0673;3
1kmN6388E0664;1kmN6402E0674;3
1kmN6388E0667;1kmN6475E0657;3
1kmN6388E0668;1kmN6415E0677;3
1kmN6388E0669;1kmN6392E0659;3
1kmN6388E0669;1kmN6474E0659;3
1kmN6388E0669;1kmN6585E0538;3
1kmN6388E0670;1kmN6474E0659;3
1kmN6388E0676;1kmN6470E0658;3
1kmN6388E0676;1kmN6474E0659;3
1kmN6388E0691;1kmN6470E0658;3
1kmN6388E0692;1kmN6388E0692;3
1kmN6388E0692;1kmN6403E0695;3
1kmN6388E0692;1kmN6470E0658;3
1kmN6388E0692;1kmN6475E0657;3
1kmN6388E0692;1kmN6529E0590;3
1kmN6389E0639;1kmN6588E0541;3
1kmN6389E0643;1kmN6388E0644;3
1kmN6389E0643;1kmN6589E0543;3
1kmN6389E0644;1kmN6386E0652;3
1kmN6389E0651;1kmN6386E0652;3
1kmN6389E0653;1kmN6474E0659;3
1kmN6389E0654;1kmN6386E0652;3
1kmN6389E0654;1kmN6474E0659;3
1kmN6389E0657;1kmN6386E0652;3
1kmN6389E0657;1kmN6410E0680;3
1kmN6389E0657;1kmN6529E0590;3
1kmN6389E0669;1kmN6392E0659;3
1kmN6389E0669;1kmN6402E0673;3
1kmN6389E0669;1kmN6402E0674;3
1kmN6389E0669;1kmN6415E0678;3
1kmN6389E0669;1kmN6470E0658;3
1kmN6389E0669;1kmN6473E0662;3
1kmN6389E0669;1kmN6474E0659;3
1kmN6389E0676;1kmN6402E0674;3
1kmN6389E0682;1kmN6401E0681;3
1kmN6389E0682;1kmN6415E0678;3
1kmN6389E0684;1kmN6474E0659;3
1kmN6389E0692;1kmN6388E0692;4
1kmN6389E0692;1kmN6403E0695;3
1kmN6389E0692;1kmN6415E0677;3
1kmN6389E0692;1kmN6421E0676;3
1kmN6389E0692;1kmN6444E0703;3
1kmN6389E0692;1kmN6472E0657;3
1kmN6389E0692;1kmN6474E0659;3
1kmN6389E0693;1kmN6415E0677;3
1kmN6390E0658;1kmN6386E0652;4
1kmN6390E0665;1kmN6392E0659;3
1kmN6390E0665;1kmN6421E0676;3
1kmN6390E0669;1kmN6474E0659;3
1kmN6390E0678;1kmN6402E0673;3
1kmN6390E0679;1kmN6584E0538;3
1kmN6390E0683;1kmN6401E0681;3
1kmN6390E0684;1kmN6470E0658;3
1kmN6390E0685;1kmN6415E0677;3
1kmN6390E0685;1kmN6470E0658;3
1kmN6391E0636;1kmN6388E0644;3
1kmN6391E0636;1kmN6405E0620;3
1kmN6391E0636;1kmN6407E0621;3
1kmN6391E0636;1kmN6581E0633;3
1kmN6391E0638;1kmN6388E0644;3
1kmN6391E0638;1kmN6405E0621;3
1kmN6391E0638;1kmN6462E0648;3
1kmN6391E0638;1kmN6474E0657;3
1kmN6391E0638;1kmN6475E0657;3
1kmN6391E0638;1kmN6587E0542;3
1kmN6391E0639;1kmN6405E0621;3
1kmN6391E0656;1kmN6415E0677;3
1kmN6391E0656;1kmN6584E0538;3
1kmN6391E0658;1kmN6392E0659;6
1kmN6391E0658;1kmN6420E0678;3
1kmN6391E0658;1kmN6470E0658;3
1kmN6391E0658;1kmN6473E0659;3
1kmN6391E0658;1kmN6475E0657;3
1kmN6391E0658;1kmN6491E0591;3
