Elukoht;isikute_arv_arvut;isikute_arv;vanus_0_14;vanus_15_64;vanus_65;Seisund_hoivatu;Seisund_oppur
KOKKU;1328976;1328976;218702;843986;266288;644349;61513
Puudub;19447;19447;1469;14843;3135;7270;710
1kmN6589E0547;16723;16723;2637;10080;4006;8304;550
1kmN6590E0549;16013;16013;2633;10338;3042;8358;452
1kmN6585E0538;15515;15515;2127;9696;3692;7893;527
1kmN6586E0536;14842;14842;2174;8609;4059;7239;539
1kmN6588E0543;13432;13432;2200;9096;2136;6843;726
1kmN6585E0539;12561;12561;1762;7772;3027;6426;443
1kmN6590E0539;11697;11697;1460;7805;2432;6248;335
1kmN6590E0550;11135;11135;1855;7343;1937;5864;351
1kmN6589E0549;10806;10806;1474;6836;2496;5624;335
1kmN6590E0737;9787;9787;1254;5993;2540;4039;438
1kmN6589E0539;9469;9469;1182;5844;2443;4732;278
1kmN6589E0546;9109;9109;1354;5608;2147;4681;299
1kmN6588E0546;8787;8787;1143;5495;2149;4415;276
1kmN6589E0550;8752;8752;1734;5759;1259;4353;399
1kmN6588E0544;8393;8393;1286;5604;1503;4388;300
1kmN6473E0662;8393;8393;1440;5059;1894;4104;404
1kmN6589E0737;8389;8389;1198;5077;2114;3193;406
1kmN6587E0541;8243;8243;1415;5609;1219;4566;321
1kmN6473E0661;7866;7866;1377;4454;2035;3545;417
1kmN6589E0736;7856;7856;1041;4642;2173;3197;404
1kmN6584E0538;7706;7706;1088;4772;1846;3903;299
1kmN6474E0660;7444;7444;1204;4546;1694;3470;396
1kmN6590E0548;7371;7371;1121;5021;1229;3992;236
1kmN6588E0542;7346;7346;1237;5053;1056;3758;380
1kmN6585E0536;6945;6945;1052;4218;1675;3511;264
1kmN6588E0541;6925;6925;1456;4752;717;3575;341
1kmN6588E0737;6786;6786;987;4057;1742;2677;330
1kmN6589E0540;6739;6739;1068;4706;965;3750;287
1kmN6590E0736;6662;6662;891;3899;1872;2729;306
1kmN6584E0539;6493;6493;896;4022;1575;3337;259
1kmN6581E0694;6336;6336;876;3868;1592;2756;308
1kmN6474E0661;6258;6258;1113;3862;1283;3044;294
1kmN6589E0686;6116;6116;833;3702;1581;2633;247
1kmN6586E0541;6092;6092;991;4238;863;3311;415
1kmN6585E0537;5971;5971;813;3890;1268;3223;195
1kmN6582E0694;5888;5888;857;3749;1282;2743;253
1kmN6473E0659;5867;5867;1181;3719;967;2782;421
1kmN6589E0541;5861;5861;1213;4017;631;3185;234
1kmN6589E0543;5838;5838;890;4243;705;3052;367
1kmN6584E0537;5548;5548;576;4268;704;2836;658
1kmN6588E0540;5447;5447;804;3690;953;3031;200
1kmN6587E0540;5430;5430;893;3532;1005;2851;249
1kmN6587E0539;5378;5378;735;3301;1342;2658;252
1kmN6585E0540;5207;5207;718;3225;1264;2707;231
1kmN6586E0539;5168;5168;811;3275;1082;2673;218
1kmN6587E0542;5084;5084;948;3465;671;2810;202
1kmN6590E0540;5031;5031;633;3426;972;2731;142
1kmN6588E0545;4825;4825;749;3277;799;2588;148
1kmN6588E0738;4680;4680;718;2970;992;1898;249
1kmN6589E0542;4429;4429;985;3170;274;2213;218
1kmN6594E0557;4409;4409;676;2815;918;2199;166
1kmN6582E0540;4398;4398;647;2830;921;2252;179
1kmN6586E0540;4181;4181;845;2752;584;2261;241
1kmN6590E0686;4130;4130;502;2472;1156;1805;181
1kmN6590E0541;4126;4126;876;2888;362;2328;153
1kmN6472E0659;4076;4076;799;2651;626;1999;253
1kmN6471E0530;3843;3843;709;2287;847;1760;139
1kmN6586E0537;3842;3842;491;2202;1149;1908;145
1kmN6581E0634;3789;3789;618;2202;969;1692;175
1kmN6458E0411;3740;3740;589;2269;882;1830;164
1kmN6471E0659;3706;3706;672;2197;837;1764;181
1kmN6589E0738;3704;3704;507;2232;965;1434;172
1kmN6473E0658;3701;3701;794;2364;543;1709;312
1kmN6415E0678;3691;3691;619;2114;958;1594;161
1kmN6474E0658;3688;3688;924;2250;514;1733;275
1kmN6473E0529;3675;3675;590;2312;773;1773;178
1kmN6470E0531;3605;3605;541;1984;1080;1584;137
1kmN6589E0548;3522;3522;475;2177;870;1806;124
1kmN6471E0592;3456;3456;516;1941;999;1599;163
1kmN6580E0634;3454;3454;637;2119;698;1626;193
1kmN6591E0538;3451;3451;395;2394;662;1898;90
