Kool;isikute_arv
1kmN6386E0652;79
1kmN6388E0644;48
1kmN6388E0668;41
1kmN6388E0692;13
1kmN6392E0659;73
1kmN6401E0681;88
1kmN6402E0673;85
1kmN6402E0674;181
1kmN6403E0641;94
1kmN6403E0665;23
1kmN6403E0695;338
1kmN6405E0620;293
1kmN6405E0621;1114
1kmN6405E0622;84
1kmN6406E0455;9
1kmN6406E0622;424
1kmN6406E0705;60
1kmN6407E0620;49
1kmN6407E0621;654
1kmN6410E0680;280
1kmN6412E0648;124
1kmN6412E0650;284
1kmN6413E0679;65
1kmN6414E0678;231
1kmN6415E0630;142
1kmN6415E0668;62
1kmN6415E0677;941
1kmN6415E0678;1136
1kmN6417E0684;147
1kmN6417E0688;60
1kmN6418E0522;43
1kmN6419E0648;150
1kmN6419E0667;139
1kmN6420E0622;65
1kmN6420E0678;453
1kmN6421E0676;324
1kmN6421E0704;60
1kmN6422E0628;27
1kmN6422E0652;30
1kmN6422E0676;75
1kmN6426E0634;140
1kmN6429E0526;29
1kmN6429E0614;107
1kmN6429E0677;98
1kmN6429E0715;168
1kmN6430E0613;58
1kmN6430E0663;267
1kmN6430E0670;22
1kmN6431E0600;49
1kmN6431E0613;447
1kmN6432E0644;139
1kmN6432E0696;119
1kmN6433E0609;50
1kmN6434E0708;60
1kmN6436E0545;8
1kmN6436E0631;107
1kmN6437E0529;217
1kmN6437E0647;545
1kmN6437E0681;142
1kmN6438E0647;53
1kmN6438E0679;413
1kmN6438E0680;1045
1kmN6438E0694;35
1kmN6439E0569;74
1kmN6439E0661;121
1kmN6439E0681;123
1kmN6440E0611;64
1kmN6440E0667;108
1kmN6441E0591;414
1kmN6441E0629;26
1kmN6443E0498;48
1kmN6443E0579;69
1kmN6443E0580;234
1kmN6443E0637;70
1kmN6443E0690;42
1kmN6444E0703;684
1kmN6444E0704;517
1kmN6445E0556;438
1kmN6446E0584;101
1kmN6447E0632;307
1kmN6448E0396;45
1kmN6448E0397;86
1kmN6450E0672;138
1kmN6450E0687;64
1kmN6451E0590;18
1kmN6451E0655;61
1kmN6451E0687;104
1kmN6452E0629;43
1kmN6453E0528;75
1kmN6453E0609;37
1kmN6454E0613;135
1kmN6454E0651;12
1kmN6455E0542;117
1kmN6455E0641;922
1kmN6455E0680;32
1kmN6456E0411;21
1kmN6456E0593;135
1kmN6456E0609;247
1kmN6456E0641;214
1kmN6456E0680;65
1kmN6457E0409;109
1kmN6457E0411;1270
1kmN6457E0630;159
1kmN6457E0641;193
1kmN6457E0643;46
1kmN6457E0648;18
1kmN6458E0410;1131
1kmN6458E0411;1381
1kmN6458E0412;215
1kmN6458E0658;280
1kmN6459E0533;77
1kmN6460E0533;164
1kmN6460E0599;91
1kmN6460E0635;129
1kmN6460E0663;99
1kmN6460E0703;16
1kmN6461E0644;27
1kmN6461E0648;156
1kmN6462E0383;36
1kmN6462E0384;67
1kmN6462E0648;720
1kmN6463E0425;52
1kmN6463E0590;70
1kmN6464E0669;297
1kmN6464E0678;239
1kmN6465E0516;64
1kmN6465E0576;86
1kmN6465E0588;159
1kmN6466E0397;111
1kmN6466E0398;67
1kmN6466E0499;193
1kmN6466E0649;21
1kmN6466E0657;270
1kmN6466E0659;135
1kmN6467E0587;62
1kmN6467E0658;124
1kmN6467E0659;1059
1kmN6468E0408;192
1kmN6468E0533;407
1kmN6468E0592;879
1kmN6468E0635;335
1kmN6468E0659;224
1kmN6469E0531;318
1kmN6469E0532;556
1kmN6469E0595;158
1kmN6469E0674;133
1kmN6470E0384;31
1kmN6470E0422;47
1kmN6470E0434;42
1kmN6470E0529;592
1kmN6470E0531;1161
1kmN6470E0535;839
1kmN6470E0592;279
1kmN6470E0593;978
1kmN6470E0594;766
1kmN6470E0658;3562
1kmN6470E0662;3
1kmN6471E0529;1814
1kmN6471E0530;570
1kmN6471E0531;1089
1kmN6471E0592;1027
1kmN6471E0657;249
1kmN6471E0658;637
1kmN6471E0659;422
1kmN6471E0660;220
1kmN6471E0668;569
1kmN6472E0527;227
1kmN6472E0528;815
1kmN6472E0529;80
1kmN6472E0530;539
1kmN6472E0531;148
1kmN6472E0535;97
1kmN6472E0592;34
1kmN6472E0657;1751
1kmN6472E0658;968
1kmN6472E0659;492
1kmN6473E0528;934
1kmN6473E0529;228
1kmN6473E0597;721
1kmN6473E0602;37
1kmN6473E0607;117
1kmN6473E0657;1418
1kmN6473E0658;2573
1kmN6473E0659;3421
1kmN6473E0660;114
1kmN6473E0661;1745
1kmN6473E0662;1070
1kmN6473E0663;107
1kmN6474E0429;191
1kmN6474E0441;50
